1;MQ-3;MQ-4;PRESION
848;72;192;167
849;73;173;160
850;72;174;166
851;73;162;164
852;72;169;166
853;70;169;167
854;74;162;163
855;70;156;157
856;70;153;166
857;71;147;162
858;71;146;168
859;70;141;166
860;69;136;151
861;72;129;166
862;66;126;165
863;69;126;166
864;68;125;167
865;70;126;164
866;70;128;168
867;70;133;168
868;68;140;164
869;68;135;167
870;68;133;167
871;69;127;152
872;68;129;167
873;67;127;158
874;67;122;167
875;67;119;165
876;67;122;156
877;67;120;144
878;66;118;141
879;68;117;146
880;113;120;145
881;90;125;145
882;78;129;139
883;75;128;145
884;73;123;143
885;71;118;144
886;68;118;145
887;70;131;144
888;68;139;141
889;66;171;145
890;69;148;146
891;67;154;142
892;70;153;146
893;68;150;140
894;70;148;144
895;70;145;140
896;70;133;138
897;67;133;145
898;68;130;143
899;70;128;144
900;70;129;144
901;68;133;143
902;70;132;146
903;67;128;138
904;67;128;144
905;MQ-3;MQ-4;PRESION
906;47;81;139
907;98;167;133
908;89;146;140
909;82;134;140
910;80;129;139
911;79;122;136
912;76;121;139
913;75;120;139
914;74;119;135
915;76;116;138
916;73;117;139
917;72;115;139
918;72;115;139
919;70;115;140
920;71;115;138
921;71;116;140
922;72;115;132
923;72;114;136
924;69;113;139
925;71;114;140
926;70;111;140
927;68;110;137
928;70;111;140
929;68;110;139
930;70;109;139
931;70;109;140
932;68;109;139
933;67;111;142
934;69;111;140
935;68;109;139
936;70;108;137
937;68;109;137
938;68;108;139
939;70;107;142
940;70;110;141
941;68;107;139
942;70;106;140
943;70;108;142
944;68;107;134
945;180;119;140
946;189;124;141
947;166;121;139
948;149;116;138
949;144;114;137
950;149;115;140
951;130;112;139
952;122;113;140
953;104;110;136
954;94;115;135
955;86;120;139
956;81;122;130
957;79;120;129
958;76;118;135
959;74;119;135
960;72;116;131
961;72;119;132
962;70;117;135
963;70;116;133
964;71;118;132
965;69;116;131
966;68;117;130
967;68;116;134
968;67;118;135
969;66;119;135
970;68;117;133
971;68;117;134
972;66;118;135
973;67;119;136
974;67;119;135
975;65;120;130
976;66;121;135
977;68;120;134
978;65;121;135
979;68;118;135
980;67;120;134
981;65;121;135
982;67;120;130
983;65;118;131
984;68;118;134
985;67;135;134
986;68;144;129
987;69;145;134
988;67;144;135
989;69;143;132
990;67;143;132
991;69;140;131
992;67;142;130
993;68;139;134
994;68;138;134
995;66;138;135
996;68;140;135
997;71;142;136
998;70;142;134
999;69;142;136
1000;68;140;135
1001;69;139;135
1002;66;138;135
1003;66;145;133
1004;69;140;134
1005;67;141;130
1006;67;139;135
1007;67;138;136
1008;68;137;134
1009;68;138;134
1010;65;136;133
1011;67;139;132
1012;68;137;135
1013;67;138;134
1014;68;138;132
1015;68;140;130
1016;66;139;136
1017;66;137;135
1018;66;139;135
1019;68;140;134
1020;67;140;133
1021;64;138;137
1022;64;137;135
1023;67;137;134
1024;66;136;130
1025;65;138;136
1026;64;136;135
1027;64;135;135
1028;66;137;136
1029;68;137;136
1030;65;136;131
1031;67;137;136
1032;65;134;134
1033;64;133;137
1034;66;135;136
1035;63;132;131
1036;66;132;136
1037;64;133;135
1038;65;134;138
1039;63;132;135
1040;64;132;135
1041;64;132;135
1042;65;134;135
1043;66;133;136
1044;66;134;136
1045;64;132;135
1046;66;134;136
1047;65;135;135
1048;65;135;136
1049;63;133;134
1050;66;133;134
1051;64;135;133
1052;64;134;135
1053;65;135;135
1054;67;137;134
1055;66;136;135
1056;66;134;133
1057;69;140;131
1058;69;141;136
1059;69;138;134
1060;69;138;135
1061;69;138;136
1062;69;137;136
1063;68;137;135
1064;69;137;135
1065;71;136;130
1066;68;136;136
1067;69;135;137
1068;71;136;136
1069;71;134;134
1070;71;135;137
1071;69;132;135
1072;69;134;135
1073;72;132;133
1074;71;136;134
1075;71;134;130
1076;69;132;137
1077;70;131;134
1078;71;132;136
1079;72;130;130
1080;69;131;133
1081;70;131;135
1082;72;129;133
1083;71;130;136
1084;69;129;135
1085;71;132;136
1086;71;131;135
1087;70;131;131
1088;70;129;135
1089;69;130;133
1090;69;131;135
1091;68;130;131
1092;69;133;135
1093;69;131;131
1094;71;132;136
1095;69;129;134
1096;68;129;130
1097;68;129;135
1098;71;128;130
1099;68;130;135
1100;69;131;135
1101;71;130;136
1102;71;132;136
1103;70;131;136
1104;71;132;130
1105;70;130;135
1106;71;132;136
1107;69;132;137
1108;70;130;134
1109;71;129;134
1110;72;131;134
1111;71;132;134
1112;71;134;137
1113;71;134;132
1114;71;133;136
1115;71;132;133
1116;68;133;135
1117;68;133;134
1118;71;134;136
1119;69;134;137
1120;71;134;136
1121;71;132;136
1122;71;136;136
1123;71;135;137
1124;71;135;135
1125;71;135;136
1126;70;135;135
1127;70;135;135
1128;71;135;136
1129;69;132;130
1130;71;134;135
1131;71;134;136
1132;69;133;137
1133;71;132;130
1134;69;132;135
1135;69;132;135
1136;71;138;136
1137;71;136;136
1138;71;137;137
1139;69;133;135
1140;70;133;135
1141;71;135;136
1142;71;138;134
1143;71;136;137
1144;71;136;135
1145;70;137;134
1146;70;137;136
1147;70;136;136
1148;68;136;135
1149;70;137;133
1150;68;135;131
1151;68;134;133
1152;71;138;136
1153;69;136;129
1154;69;136;135
1155;69;136;136
1156;69;136;134
1157;69;137;135
1158;69;144;135
1159;71;140;137
1160;69;138;135
1161;68;137;134
1162;69;138;137
1163;71;138;131
1164;69;138;131
1165;71;136;134
1166;70;136;137
1167;69;137;135
1168;70;141;132
1169;71;139;137
1170;71;140;136
1171;70;139;138
1172;71;137;136
1173;73;141;133
1174;74;142;132
1175;70;140;135
1176;71;139;135
1177;72;140;135
1178;72;142;135
1179;72;143;132
1180;72;141;135
1181;72;140;131
1182;73;145;136
1183;73;143;136
1184;72;142;135
1185;73;140;137
1186;73;141;136
1187;73;138;131
1188;73;139;135
1189;74;139;136
1190;72;139;134
1191;74;138;136
1192;73;141;135
1193;72;141;135
1194;77;145;137
1195;74;144;131
1196;72;141;135
1197;72;142;135
1198;72;141;131
1199;73;154;136
1200;71;148;136
1201;71;143;136
1202;71;140;136
1203;71;139;136
1204;72;140;135
1205;72;140;131
1206;69;139;135
1207;71;140;136
1208;71;140;136
1209;71;137;136
1210;72;138;136
1211;71;140;136
1212;70;137;136
1213;71;139;134
1214;69;139;135
1215;68;137;135
1216;68;137;134
1217;71;136;131
1218;69;137;135
1219;72;136;136
1220;72;135;135
1221;76;136;136
1222;76;137;131
1223;78;136;135
1224;75;136;135
1225;75;137;135
1226;75;137;138
1227;74;137;136
1228;72;134;131
1229;71;138;136
1230;72;136;136
1231;69;138;135
1232;68;137;135
1233;69;137;135
1234;71;139;136
1235;68;136;135
1236;70;138;138
1237;69;138;134
1238;70;136;136
1239;70;139;136
1240;68;138;135
1241;68;137;135
1242;69;136;136
1243;70;137;134
1244;68;137;135
1245;69;139;136
1246;69;139;135
1247;69;131;132
1248;70;145;135
1249;71;164;136
1250;72;164;130
1251;71;167;136
1252;69;165;138
1253;71;164;136
1254;71;164;137
1255;68;163;135
1256;69;163;137
1257;70;162;137
1258;69;163;135
1259;68;163;135
1260;71;164;136
1261;72;164;136
1262;70;166;136
1263;70;166;136
1264;70;165;134
1265;70;162;136
1266;70;164;136
1267;69;163;135
1268;70;162;134
1269;68;162;135
1270;70;164;136
1271;70;164;131
1272;69;163;137
1273;69;163;132
1274;70;162;136
1275;68;161;135
1276;70;160;136
1277;68;161;135
1278;68;160;135
1279;68;161;135
1280;69;159;136
1281;67;160;136
1282;66;160;137
1283;68;159;134
1284;68;160;135
1285;67;160;135
1286;68;160;133
1287;69;161;136
1288;68;160;135
1289;68;160;137
1290;68;160;135
1291;70;159;136
1292;69;159;136
1293;67;160;135
1294;67;158;135
1295;67;157;135
1296;67;158;133
1297;66;157;137
1298;68;155;136
1299;66;155;135
1300;66;154;135
1301;66;154;131
1302;67;155;137
1303;69;155;137
1304;66;154;135
1305;68;154;136
1306;67;154;135
1307;70;156;136
1308;69;156;136
1309;71;157;137
1310;69;157;135
1311;68;154;135
1312;68;155;134
1313;69;155;135
1314;71;159;138
1315;70;158;136
1316;71;159;136
1317;70;156;133
1318;72;161;135
1319;74;160;132
1320;72;160;135
1321;74;162;134
1322;71;159;138
1323;70;157;135
1324;71;156;136
1325;73;157;136
1326;71;159;136
1327;72;157;135
1328;70;157;135
1329;73;158;134
1330;72;156;135
1331;72;156;135
1332;74;155;137
1333;72;155;135
1334;74;154;131
1335;74;156;134
1336;72;154;131
1337;73;160;131
1338;76;156;136
1339;73;155;138
1340;73;155;136
1341;73;153;135
1342;73;152;135
1343;75;153;134
1344;75;153;136
1345;74;152;131
1346;72;151;135
